scenario,purpose,time_s,current_A,stack_voltage_V,ambient_C,source,input_status
uav_like,calibration,0,0,40.5,16.0,Gong2024 Fig.9(a),pixel_audited
uav_like,calibration,100,2,30.5,16.0,Gong2024 Fig.9(a),paper_text_plus_pixel
uav_like,calibration,280,30,20.0,16.0,Gong2024 Fig.9(a),paper_text_plus_pixel
uav_like,calibration,290,26,25.5,16.0,Gong2024 Fig.9(a),paper_text_plus_pixel
uav_like,calibration,600,20,28.0,16.0,Gong2024 Fig.9(a),paper_text_plus_pixel
uav_like,calibration,610,0,38.0,16.0,Gong2024 Fig.9(a),paper_text_plus_pixel
uav_like,calibration,680,0,40.0,16.0,Gong2024 Fig.9(a),pixel_audited
random_load,final_confirmation,0,0,40.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,30,1,32.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,320,8,28.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,360,10,29.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,400,20,27.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,450,12,30.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,520,24,26.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,560,30,24.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,630,16,29.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,690,8,31.5,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,750,10,30.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,810,12,29.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,880,1,34.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,940,0,39.0,25.0,Gong2024 Fig.9(b),pixel_audited
random_load,final_confirmation,1000,0,40.0,25.0,Gong2024 Fig.9(b),pixel_audited
