scenario,purpose,time_s,current_A,stack_voltage_V,ambient_C,source,uncertainty_V
uav_like,calibration,0,2,40.5,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,100,2,30.5,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,200,2,31.5,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,280,30,20.0,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,300,26,25.5,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,330,26,26.0,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,360,26,26.1,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,400,26,26.0,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,450,26,25.9,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,500,26,25.8,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,580,26,25.7,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,610,20,28.0,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,640,20,28.5,16.0,Gong2024 Fig.9(a),0.75
uav_like,calibration,680,0,38.0,16.0,Gong2024 Fig.9(a),0.75
random_load,final_confirmation,0,0,40.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,100,1,32.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,200,1,32.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,320,8,28.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,360,10,27.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,400,20,30.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,450,15,26.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,500,24,24.5,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,550,30,23.5,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,600,30,24.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,650,16,29.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,700,8,31.5,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,750,10,30.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,850,12,29.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,900,1,34.0,25.0,Gong2024 Fig.9(b),0.75
random_load,final_confirmation,970,0,39.0,25.0,Gong2024 Fig.9(b),0.75
