scenario,purpose,time_s,center_temperature_C,pixel_x,pixel_y,uncertainty_C,source
uav_like,calibration,0,17.0,410,911,0.75,Gong2024 Fig.9(a)
uav_like,calibration,50,17.5,453,906,0.75,Gong2024 Fig.9(a)
uav_like,calibration,100,17.1,496,910,0.75,Gong2024 Fig.9(a)
uav_like,calibration,150,19.2,539,888,0.75,Gong2024 Fig.9(a)
uav_like,calibration,200,20.8,581,871,0.75,Gong2024 Fig.9(a)
uav_like,calibration,250,21.7,624,861,0.75,Gong2024 Fig.9(a)
uav_like,calibration,270,22.1,641,857,0.75,Gong2024 Fig.9(a)
uav_like,calibration,300,33.0,667,742,0.75,Gong2024 Fig.9(a)
uav_like,calibration,330,43.6,693,630,0.75,Gong2024 Fig.9(a)
uav_like,calibration,360,48.7,719,577,0.75,Gong2024 Fig.9(a)
uav_like,calibration,400,52.0,753,542,0.75,Gong2024 Fig.9(a)
uav_like,calibration,450,53.9,796,522,0.75,Gong2024 Fig.9(a)
uav_like,calibration,500,54.9,839,511,0.75,Gong2024 Fig.9(a)
uav_like,calibration,550,55.3,881,507,0.75,Gong2024 Fig.9(a)
uav_like,calibration,580,55.6,907,504,0.75,Gong2024 Fig.9(a)
uav_like,calibration,600,55.8,924,502,0.75,Gong2024 Fig.9(a)
uav_like,calibration,610,53.6,933,525,0.75,Gong2024 Fig.9(a)
uav_like,calibration,620,49.0,941,574,0.75,Gong2024 Fig.9(a)
uav_like,calibration,640,40.2,959,666,0.75,Gong2024 Fig.9(a)
uav_like,calibration,660,34.5,976,726,0.75,Gong2024 Fig.9(a)
uav_like,calibration,680,31.0,993,763,0.75,Gong2024 Fig.9(a)
random_load,final_confirmation,0,30.5,407,1465,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,50,28.1,437,1490,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,100,27.4,467,1497,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,150,26.7,497,1505,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,200,26.3,526,1509,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,250,25.8,556,1514,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,300,25.6,586,1516,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,320,25.5,598,1517,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,360,31.0,622,1459,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,400,38.5,646,1381,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,450,46.5,676,1297,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,500,46.7,706,1295,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,550,52.2,735,1237,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,600,57.2,765,1185,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,650,55.7,795,1201,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,700,53.5,825,1224,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,750,51.8,855,1242,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,800,51.8,885,1242,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,850,51.4,914,1246,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,900,45.2,944,1311,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,940,41.5,968,1350,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,970,39.0,986,1376,0.75,Gong2024 Fig.9(b)
random_load,final_confirmation,1000,38.8,1004,1378,0.75,Gong2024 Fig.9(b)
