scenario,controller,maximum_hotspot_C,maximum_hotspot_after_60s_C,hotspot_rmse_above_reference_C,time_above_reference_s,maximum_gradient_C,mean_gradient_C,gradient_rmse_C,mean_temperature_tracking_rmse_C,fan_energy_proxy_duty2_h,mean_absolute_duty_rate_per_s,airflow_direction_switches,mean_estimated_hotspot_error_C,hotspot_estimation_rmse_C,maximum_absolute_energy_residual_W,actuator_saturation_fraction,thermal_constraint_infeasible_fraction
nominal,Original-PI-SMC,56.427624051149344,56.06185268103843,0.4079507330222814,964.0,2.01214223764093,0.33435897003957427,0.4480598268983563,0.26436684552125844,0.0028047362265256246,0.0009680693662959707,18,0.005399755458096776,0.045977304038598114,1.2311041075463436e-11,0.0,0.0
nominal,FiveNodeMean-PI-SMC,56.37796833430165,56.01602233377696,0.392131383384378,984.0,2.01214223764093,0.3346803282619897,0.4465031224067054,0.25490650763921896,0.0028029573413529884,0.0013880751124278905,18,0.005070882975119304,0.04502038152384637,1.1809220268332865e-11,0.0,0.0
nominal,Hotspot-MPC,56.344319167389415,55.129772167657876,0.08458617349367173,143.0,2.01214223764093,0.09919215335958138,0.22128291926764906,0.6923846364051283,0.0035277777777777785,0.03783333333333334,91,0.016210411951967044,0.044480061899939666,1.1734613281078055e-11,0.0,0.0
critical_load_plus_25pct,Original-PI-SMC,56.56263578376955,56.393093523854894,0.4776547048657151,922.0,2.01214223764093,0.35777256446799915,0.46626975998813686,0.34273621706262797,0.004769704928537794,0.0010194950186269633,21,0.004001009672112975,0.046733404835321145,1.2398304605198973e-11,0.0,0.0
critical_load_plus_25pct,FiveNodeMean-PI-SMC,56.45254803102523,56.392507756109204,0.4615680871441783,925.0,2.01214223764093,0.3558953482986825,0.46164452713002313,0.3319569651183739,0.004765564195879101,0.0014383867682599687,21,0.004043213273620018,0.04674596554771829,1.269029326067539e-11,0.0,0.0
critical_load_plus_25pct,Hotspot-MPC,56.344319167389415,55.123088248178014,0.08067194176753079,30.0,2.01214223764093,0.10794204073884725,0.22368083892677873,0.8352672185653565,0.005383333333333334,0.027416666666666666,98,0.014556999094963856,0.04688415644157772,1.283506634308651e-11,0.0,0.0
plant_mismatch,Original-PI-SMC,56.52762504783068,56.52762504783068,0.6070525851720545,1180.0,2.01214223764093,0.3655213838763104,0.4774988714586054,0.42447805181303655,0.004009318533332888,0.0009959590504862606,20,-0.06679266951394772,0.10432925355281537,1.1500134178277222e-11,0.0,0.0
plant_mismatch,FiveNodeMean-PI-SMC,56.44268886487658,56.44268886487658,0.5332030431065141,1156.0,2.01214223764093,0.3660034918299586,0.47674154841776983,0.3603738972055553,0.004066386477580833,0.0014247751515162066,20,-0.06722196576677528,0.10482312631615809,1.1366907415322203e-11,0.0,0.0
plant_mismatch,Hotspot-MPC,56.344319167389415,55.400630168972384,0.12794275325629292,169.0,2.01214223764093,0.1150055937624014,0.22444212371031177,0.5286082795305012,0.004672222222222224,0.03183333333333334,96,-0.020713681620432054,0.059881577160029294,1.1738165994756855e-11,0.0,0.0
measurement_noise,Original-PI-SMC,56.46835402769419,56.046735840730264,0.4078300253225274,988.0,2.01214223764093,0.356516586964934,0.46682949933511414,0.25876576523342637,0.0028030810515450254,0.0011773157715172988,17,0.011190675901132891,0.0726789725712799,1.305267005591304e-11,0.0,0.0
measurement_noise,FiveNodeMean-PI-SMC,56.391435019435534,56.052060101664196,0.3928025086567708,987.0,2.01214223764093,0.35388367036908214,0.4616467094854543,0.2499445912577081,0.002801017589239736,0.0015971856978552286,17,0.011266480569480932,0.07274420754900106,1.2023271267480595e-11,0.0,0.0
measurement_noise,Hotspot-MPC,56.344319167389415,55.1810214438097,0.0856358934208045,132.0,2.01214223764093,0.10484124458413427,0.2168720997784721,0.7212073187423479,0.003552777777777779,0.031166666666666665,87,0.024683848095833287,0.07245452078408465,1.0857093002414331e-11,0.0,0.0
load_preview_minus_10pct,Original-PI-SMC,56.42297863065347,56.29668131740512,0.48692992360554965,1116.0,2.01214223764093,0.35009332555774875,0.4638123860240252,0.3098570501701007,0.002748695802134994,0.0009512560850843262,17,-0.044999919455103406,0.07978487640181657,1.2754242106893798e-11,0.0,0.0
load_preview_minus_10pct,FiveNodeMean-PI-SMC,56.37340192318784,56.221408203632976,0.44667864859209205,1086.0,2.01214223764093,0.34896239103709215,0.4607099599967069,0.2797027406948897,0.00276882938814523,0.0013946093291687142,17,-0.045090160293632026,0.07984575572399147,1.202082877682642e-11,0.0,0.0
load_preview_minus_10pct,Hotspot-MPC,56.344319167389415,55.379530956130104,0.1244658457065981,182.0,2.01214223764093,0.10529256115762713,0.22530873202314164,0.526846100861582,0.0034444444444444457,0.03766666666666667,92,-0.009972841201509316,0.05353615012055071,1.226396761921933e-11,0.0,0.0
