scenario,method,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,hotspot_position_accuracy,maximum_absolute_error_C,q95_absolute_error_C
nominal,single_model_ekf,0.040985829270070565,0.049932547881748876,0.025823217732213927,0.05473223174548834,0.051146502522769255,0.045719838199882824,0.039311094080131045,0.9059117402164862,0.5234314091694188,0.08626056311659626
nominal,multiple_model_ekf,0.042037142502522,0.0497763393535909,0.02526249614587999,0.05449965685427444,0.05118450144752689,0.045766941795158944,0.03968290896328013,0.9017485428809325,0.5215086021582778,0.08612580960587196
measurement_noise,single_model_ekf,0.05323939352457376,0.0804652540578962,0.039476176410209715,0.04242884024501891,0.08081621356948197,0.06196599954439799,0.06837806551878108,0.839300582847627,0.4903771974536397,0.12876116239198446
measurement_noise,multiple_model_ekf,0.05518617186525939,0.08011192585787957,0.0411581445025317,0.04392497259016366,0.08072000062023704,0.06261397416850223,0.06884385279697003,0.8384679433805162,0.4903771974536397,0.12885794318108026
capacity_plus_12pct,single_model_ekf,0.04332132465220912,0.05131319202078879,0.02271437543838787,0.026928589927883318,0.05405539755941478,0.0416481900143355,0.0400505311462133,0.8900915903413822,0.3581747391859409,0.08439686995760526
capacity_plus_12pct,multiple_model_ekf,0.0440569720263957,0.05117172504284426,0.02282516853046105,0.02715175916857788,0.05403624022861235,0.04180354968284815,0.040118843327356775,0.8850957535387177,0.3580126409844766,0.08497765077596144
cooling_minus_15pct,single_model_ekf,0.03270643095698275,0.052739673028565616,0.02894622885915638,0.02583474291597218,0.052339016276322904,0.04023897232429803,0.041230397929715105,0.8692756036636137,0.3404076721722191,0.08530261010050567
cooling_minus_15pct,multiple_model_ekf,0.03353124431971321,0.052525953976387006,0.028935961903108647,0.026386135483019806,0.05234280647292859,0.04038962147187496,0.04147905127699554,0.8626144879267277,0.34131787635605804,0.08523495494807067
conduction_plus_20pct,single_model_ekf,0.04315004197750061,0.04990224192069583,0.02369801485742379,0.03271753845962702,0.05354193523062284,0.04207358299610763,0.03985182693630202,0.8792672772689425,0.4564754868202243,0.08499620269642634
conduction_plus_20pct,multiple_model_ekf,0.044129868450305816,0.04979102829775298,0.023409706618629022,0.03225940590932991,0.05340902816140239,0.042113655056590864,0.03995058038156104,0.8767693588676103,0.45915232781963056,0.08494584653667661
load_preview_minus_10pct,single_model_ekf,0.13865284203234138,0.058274361078037386,0.13474770749753878,0.1401292442343801,0.05247185607840618,0.11239836049387257,0.07810488779689365,0.6569525395503747,0.5272844966416201,0.23853386513219021
load_preview_minus_10pct,multiple_model_ekf,0.07284332434627454,0.056629633553475126,0.05195202551543674,0.06290289260810879,0.05287147012248758,0.059940377884618624,0.05035950946623587,0.855120732722731,0.530181659661487,0.10918269988899712
