sensor_count,sensor_nodes_1_based,mean_hotspot_rmse_C,worst_hotspot_rmse_C,mean_position_accuracy
1,3,0.14202672764396385,0.39379034229239834,0.8014154870940883
1,4,0.18023799175145483,0.6422786086558984,0.7556203164029975
1,2,0.18800232757913846,0.6302554411988992,0.7661670829864002
1,5,0.22827721196275053,0.9085809912700792,0.7889258950874272
1,1,0.24230584760102505,0.8953275957856703,0.7787954482375797
2,"2,5",0.0680511554860861,0.1460731441680786,0.7950319178462393
2,"2,4",0.07970882015839237,0.17535475429714314,0.786150430197058
2,"1,4",0.08021185097424552,0.14869786930509915,0.7776852622814321
2,"1,5",0.0852670733583471,0.22930808806828573,0.7567305023591452
2,"3,5",0.1106267565062241,0.35644968531417176,0.789203441576464
2,"3,4",0.12038949763990196,0.3653216635578416,0.7456286427976687
2,"2,3",0.12450375824669524,0.3658129819154231,0.7407715792395226
2,"1,3",0.12989773728437473,0.3561387367027476,0.7694976408548432
2,"4,5",0.16824017617296685,0.6297604671123489,0.7434082708853733
2,"1,2",0.18643176704689798,0.6222263427341529,0.7338329170135998
3,"1,3,5",0.058791250489557766,0.07808096312262154,0.7903136275326118
3,"2,4,5",0.06557014555095607,0.13386716285526812,0.7706078268109908
3,"1,2,5",0.06621220530452555,0.12153168009502716,0.7495142936441854
3,"1,4,5",0.06651091998917724,0.12207119145107381,0.7403552595059671
3,"2,3,5",0.06708231073523291,0.1403112041355575,0.7686650013877324
3,"1,2,4",0.07690292008706862,0.1372513691490334,0.7667221759644741
3,"1,3,4",0.07983691873067093,0.1453375799613863,0.7567305023591452
3,"2,3,4",0.08331781293883403,0.18167437488716429,0.7443796835970025
3,"3,4,5",0.1105315913822974,0.35880450623264304,0.7399389397724119
3,"1,2,3",0.1266782576096006,0.360391088966316,0.7339716902581183
