mesh,case_id,T_inlet_region_C,T_middle_region_C,T_outlet_region_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_position_normalized,air_outlet_temperature_C,air_enthalpy_gain_channel_W,channel_heat_input_W,energy_residual_fraction,mass_flow_channel_kg_s,reynolds_number,nusselt_number,forced_h_W_m2K,pressure_drop_Pa
coarse,1,90.85416422056218,93.1136069757717,95.01332775142596,95.40174192608322,90.25649263200955,5.145249294073665,1,84.44295513518824,0.6962342710990023,0.69625,2.259088114580829e-05,1.090872546749709e-05,260.0134855763205,3.610224,40.530301561417424,10.935690298935
coarse,2,62.2180973881791,63.4544102132632,64.52842018465539,64.752793119709,61.89974122114097,2.853051898568026,1,55.50972398687952,0.4712430148635316,0.47125,1.4822570755358193e-05,1.3573925439669674e-05,323.5395076205351,3.610224,40.530301561417424,13.607478269697529
coarse,3,57.4959526081829,58.70041298592725,59.70004991559243,59.90273071383752,57.17386946643927,2.7288612473982425,1,54.943825586216064,0.3449909613361707,0.345,2.6199025592133584e-05,1.0102967336375145e-05,240.8079440280695,3.610224,40.530301561417424,10.127940447309118
coarse,4,62.91548832754517,64.33216203959374,65.48302574157876,65.71322859131368,62.52972919064098,3.183499400672701,1,61.231053467247534,0.3637380484313063,0.36375,3.285654623685983e-05,8.98730223174476e-06,214.21565573049128,3.610224,40.530301561417424,9.009517575827129
coarse,5,33.9256182870498,34.367249903457335,34.693903700231495,34.75573513041405,33.794911859595004,0.9608232708190484,1,34.293368120127354,0.0787440888079327,0.07875,7.506275640950257e-05,5.888232496660361e-06,140.34818823721844,3.610224,40.530301561417424,5.90278737726605
coarse,6,49.380457640020005,50.34885397680068,51.063229391178936,51.19825531316661,49.093139407653325,2.105115905513287,1,50.21528403021068,0.1712368742597009,0.1712499999999999,7.664665868072854e-05,5.826251101958673e-06,138.87083888735296,3.610224,40.530301561417424,5.840652773294829
medium,1,90.85027135618084,93.1142594508338,95.01799336687267,95.40281682703448,90.25756754677168,5.145249280262817,1,84.44403006722774,0.6962460675943485,0.69625,5.647979391816406e-06,1.090872546749709e-05,260.0134855763205,3.610224,40.530301561417424,10.935690298935
medium,2,62.21580273350552,63.45460261636136,64.53086142395331,64.7531767491273,61.90012485806079,2.8530518910665137,1,55.51010763054097,0.4712482536592902,0.47125,3.705762779455456e-06,1.3573925439669674e-05,323.5395076205351,3.610224,40.530301561417424,13.607478269697529
medium,3,57.493955650902045,58.70083978750859,59.70259633750079,59.90339767369426,57.17453643363757,2.728861240056688,1,54.94449256371843,0.3449977402188027,0.345,6.550090426892719e-06,1.0102967336375145e-05,240.8079440280695,3.610224,40.530301561417424,10.127940447309118
medium,4,62.91331561119053,64.33284262778926,65.48616230798798,65.71421997055296,62.53072057855098,3.183499392001977,1,61.2320448694208,0.3637470119224565,0.36375,8.214646167721555e-06,8.98730223174476e-06,214.21565573049128,3.610224,40.530301561417424,9.009517575827129
medium,5,33.925336367210896,34.36786612933365,34.69523938399984,34.75648352140428,33.79566025321117,0.96082326819311,1,34.29411652099185,0.0787485220067733,0.07875,1.876816795750386e-05,5.888232496660361e-06,140.34818823721844,3.610224,40.530301561417424,5.90278737726605
medium,6,49.37987504209853,50.35024163494979,51.066191994865285,51.19993478624042,49.094818886450014,2.1051158997904054,1,50.2169635250379,0.1712467181292402,0.1712499999999999,1.916420881613849e-05,5.826251101958673e-06,138.87083888735296,3.610224,40.530301561417424,5.840652773294829
fine,1,90.85305922415216,93.11473289343932,95.01643869116162,95.40308557257958,90.25783629327476,5.145249279304835,1,84.44429881485854,0.6962490168786377,0.69625,1.4120235006377583e-06,1.090872546749709e-05,260.0134855763205,3.610224,40.530301561417424,10.935690298935
fine,2,62.217256992097866,63.45479119581408,64.52991257349707,64.75327266281255,61.900220772255466,2.853051890557083,1,55.510203545195566,0.4712495634092905,0.47125,9.264524340146294e-07,1.3573925439669674e-05,323.5395076205351,3.610224,40.530301561417424,13.607478269697529
fine,3,57.49547317842997,58.70112291491861,59.70180862781572,59.90356442767165,57.174703188064825,2.728861239606829,1,54.94465931880609,0.3449994350483337,0.345,1.6375410616869848e-06,1.0102967336375145e-05,240.8079440280695,3.610224,40.530301561417424,10.127940447309118
fine,4,62.91516771156726,64.33324109217853,65.48532068644005,65.71446783786581,62.53096844648218,3.1834993913836342,1,61.2322927382815,0.3637492529608556,0.36375,2.053715860831808e-06,8.98730223174476e-06,214.21565573049128,3.610224,40.530301561417424,9.009517575827129
fine,5,33.92604563369155,34.368117294328385,34.695128154684625,34.756670651514526,33.79584738353651,0.9608232679780144,1,34.29430365172834,0.0787496304872727,0.07875,4.69222510740288e-06,5.888232496660361e-06,140.34818823721844,3.610224,40.530301561417424,5.90278737726605
fine,6,49.38144133058352,50.35080296269066,51.06596006951706,51.2003547283137,49.095238828873335,2.105115899440364,1,50.21738346846615,0.171249179505277,0.1712499999999999,4.791210061135899e-06,5.826251101958673e-06,138.87083888735296,3.610224,40.530301561417424,5.840652773294829
