cell_group,flow_row,in_plane_column,temperature_C,x_pixel,y_pixel,rgb_r,rgb_g,rgb_b,colour_distance,digitization_uncertainty_C,source
1,1,1,51.904761904761905,221,929,0,255,179,1.0,0.75,Gong2024 Fig.8(b)
1,1,2,52.351190476190474,250,929,0,255,148,1.0,0.75,Gong2024 Fig.8(b)
1,1,3,49.523809523809526,280,929,0,207,255,0.0,0.75,Gong2024 Fig.8(b)
1,1,4,53.69047619047619,309,929,0,255,53,2.0,0.75,Gong2024 Fig.8(b)
1,1,5,52.351190476190474,338,929,0,255,146,3.0,0.75,Gong2024 Fig.8(b)
1,2,1,55.32738095238095,221,902,64,255,0,4.123105625617661,0.75,Gong2024 Fig.8(b)
1,2,2,55.55059523809524,250,902,75,255,0,6.082762530298219,0.75,Gong2024 Fig.8(b)
1,2,3,57.85714285714286,280,902,238,239,0,2.23606797749979,0.75,Gong2024 Fig.8(b)
1,2,4,58.67559523809524,309,902,255,214,0,1.0,0.75,Gong2024 Fig.8(b)
1,2,5,56.592261904761905,338,902,147,246,0,1.0,0.75,Gong2024 Fig.8(b)
1,3,1,55.55059523809524,221,875,72,255,0,6.324555320336759,0.75,Gong2024 Fig.8(b)
1,3,2,58.30357142857143,250,875,255,229,0,1.0,0.75,Gong2024 Fig.8(b)
1,3,3,59.19642857142857,280,875,255,197,0,2.0,0.75,Gong2024 Fig.8(b)
1,3,4,60.089285714285715,309,875,255,165,0,1.0,0.75,Gong2024 Fig.8(b)
1,3,5,59.791666666666664,338,875,255,172,0,2.0,0.75,Gong2024 Fig.8(b)
2,1,1,52.5,373,929,0,255,140,1.0,0.75,Gong2024 Fig.8(b)
2,1,2,52.648809523809526,402,929,0,255,129,1.0,0.75,Gong2024 Fig.8(b)
2,1,3,56.81547619047619,432,929,163,247,0,3.1622776601683795,0.75,Gong2024 Fig.8(b)
2,1,4,53.76488095238095,462,929,0,255,47,3.0,0.75,Gong2024 Fig.8(b)
2,1,5,51.532738095238095,491,929,0,255,205,3.0,0.75,Gong2024 Fig.8(b)
2,2,1,57.708333333333336,373,902,227,243,0,4.123105625617661,0.75,Gong2024 Fig.8(b)
2,2,2,58.154761904761905,402,902,255,234,0,0.0,0.75,Gong2024 Fig.8(b)
2,2,3,59.642857142857146,432,902,255,180,0,2.0,0.75,Gong2024 Fig.8(b)
2,2,4,60.089285714285715,462,902,255,158,0,6.0,0.75,Gong2024 Fig.8(b)
2,2,5,58.37797619047619,491,902,255,227,0,0.0,0.75,Gong2024 Fig.8(b)
2,3,1,58.526785714285715,373,875,255,222,0,2.0,0.75,Gong2024 Fig.8(b)
2,3,2,60.833333333333336,402,875,255,134,0,1.0,0.75,Gong2024 Fig.8(b)
2,3,3,61.57738095238095,432,875,255,107,0,2.0,0.75,Gong2024 Fig.8(b)
2,3,4,62.32142857142857,462,875,255,82,0,0.0,0.75,Gong2024 Fig.8(b)
2,3,5,60.907738095238095,491,875,255,133,0,1.0,0.75,Gong2024 Fig.8(b)
3,1,1,55.029761904761905,523,929,46,255,0,5.0990195135927845,0.75,Gong2024 Fig.8(b)
3,1,2,53.839285714285715,553,929,0,255,42,1.0,0.75,Gong2024 Fig.8(b)
3,1,3,56.36904761904762,584,929,130,247,0,2.23606797749979,0.75,Gong2024 Fig.8(b)
3,1,4,55.625,614,929,80,255,0,6.082762530298219,0.75,Gong2024 Fig.8(b)
3,1,5,56.29464285714286,644,929,126,247,0,1.4142135623730951,0.75,Gong2024 Fig.8(b)
3,2,1,57.93154761904762,523,902,246,239,0,2.23606797749979,0.75,Gong2024 Fig.8(b)
3,2,2,59.86607142857143,553,902,255,169,0,0.0,0.75,Gong2024 Fig.8(b)
3,2,3,60.163690476190474,584,902,255,190,0,1.0,0.75,Gong2024 Fig.8(b)
3,2,4,61.354166666666664,614,902,255,112,0,1.0,0.75,Gong2024 Fig.8(b)
