scenario,purpose,time_s,center_temperature_C,load_current_A,digitization_uncertainty_C,source
uav_like,calibration,0,16.0,2.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,100,16.0,2.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,200,20.0,2.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,280,23.0,30.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,300,25.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,330,35.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,360,44.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,400,50.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,450,54.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,500,55.5,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,580,56.0,26.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,610,53.0,20.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,640,41.0,20.0,1.25,Gong2024 Fig.9 (a)
uav_like,calibration,680,32.0,0.0,1.25,Gong2024 Fig.9 (a)
random_load,final_confirmation,0,30.0,0.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,100,27.5,1.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,200,26.0,1.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,320,25.5,8.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,360,31.0,10.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,400,39.0,20.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,450,46.0,15.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,500,47.0,24.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,550,52.0,30.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,600,57.0,30.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,650,54.0,16.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,700,52.0,8.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,750,50.5,10.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,850,51.0,12.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,900,44.0,1.0,1.25,Gong2024 Fig.9 (b)
random_load,final_confirmation,970,39.5,0.0,1.25,Gong2024 Fig.9 (b)
