scenario,purpose,time_s,center_temperature_C,load_current_A,digitization_uncertainty_C,source,predicted_C,error_C
uav_like,calibration,0,16.0,2.0,1.25,Gong2024 Fig.9 (a),16.0,0.0
uav_like,calibration,100,16.0,2.0,1.25,Gong2024 Fig.9 (a),17.530047633552865,1.530047633552865
uav_like,calibration,200,20.0,2.0,1.25,Gong2024 Fig.9 (a),18.265514653948756,-1.734485346051244
uav_like,calibration,280,23.0,30.0,1.25,Gong2024 Fig.9 (a),18.567753169487744,-4.4322468305122555
uav_like,calibration,300,25.0,26.0,1.25,Gong2024 Fig.9 (a),31.255633522305807,6.255633522305807
uav_like,calibration,330,35.0,26.0,1.25,Gong2024 Fig.9 (a),38.81048296059332,3.810482960593319
uav_like,calibration,360,44.0,26.0,1.25,Gong2024 Fig.9 (a),42.90800898905893,-1.0919910109410722
uav_like,calibration,400,50.0,26.0,1.25,Gong2024 Fig.9 (a),45.594938101923645,-4.4050618980763545
uav_like,calibration,450,54.0,26.0,1.25,Gong2024 Fig.9 (a),46.93961115575165,-7.060388844248351
uav_like,calibration,500,55.5,26.0,1.25,Gong2024 Fig.9 (a),47.41576498558706,-8.08423501441294
uav_like,calibration,580,56.0,26.0,1.25,Gong2024 Fig.9 (a),47.626258583623695,-8.373741416376305
uav_like,calibration,610,53.0,20.0,1.25,Gong2024 Fig.9 (a),47.64892313488724,-5.351076865112759
uav_like,calibration,640,41.0,20.0,1.25,Gong2024 Fig.9 (a),44.38945205687061,3.38945205687061
uav_like,calibration,680,32.0,0.0,1.25,Gong2024 Fig.9 (a),42.06793210884212,10.067932108842122
random_load,final_confirmation,0,30.0,0.0,1.25,Gong2024 Fig.9 (b),30.0,0.0
random_load,final_confirmation,100,27.5,1.0,1.25,Gong2024 Fig.9 (b),30.0,2.5
random_load,final_confirmation,200,26.0,1.0,1.25,Gong2024 Fig.9 (b),30.726401423350026,4.726401423350026
random_load,final_confirmation,320,25.5,8.0,1.25,Gong2024 Fig.9 (b),31.1190691126157,5.619069112615701
random_load,final_confirmation,360,31.0,10.0,1.25,Gong2024 Fig.9 (b),34.3944295471952,3.3944295471952017
random_load,final_confirmation,400,39.0,20.0,1.25,Gong2024 Fig.9 (b),37.512364450053596,-1.487635549946404
random_load,final_confirmation,450,46.0,15.0,1.25,Gong2024 Fig.9 (b),47.20577754941097,1.2057775494109677
random_load,final_confirmation,500,47.0,24.0,1.25,Gong2024 Fig.9 (b),47.57263786158903,0.5726378615890297
random_load,final_confirmation,550,52.0,30.0,1.25,Gong2024 Fig.9 (b),54.74711548719738,2.7471154871973766
random_load,final_confirmation,600,57.0,30.0,1.25,Gong2024 Fig.9 (b),63.25488613090826,6.254886130908261
random_load,final_confirmation,650,54.0,16.0,1.25,Gong2024 Fig.9 (b),66.03438822179852,12.034388221798523
random_load,final_confirmation,700,52.0,8.0,1.25,Gong2024 Fig.9 (b),56.713948686779844,4.713948686779844
random_load,final_confirmation,750,50.5,10.0,1.25,Gong2024 Fig.9 (b),49.56058868599628,-0.9394113140037206
random_load,final_confirmation,850,51.0,12.0,1.25,Gong2024 Fig.9 (b),44.40005009244121,-6.599949907558788
random_load,final_confirmation,900,44.0,1.0,1.25,Gong2024 Fig.9 (b),44.464912727058014,0.4649127270580138
random_load,final_confirmation,970,39.5,0.0,1.25,Gong2024 Fig.9 (b),39.14099601587166,-0.3590039841283428
