scenario,purpose,time_s,flow_region,temperature_C,pixel_x,pixel_y,uncertainty_C,source
ramp_2A,calibration,50,outlet,26.81918819188192,77,912,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,50,intermediate,27.084870848708487,77,910,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,50,inlet,26.730627306273064,77,912,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,150,outlet,30.273062730627306,93,892,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,150,intermediate,29.830258302583026,93,894,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,150,inlet,28.85608856088561,93,900,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,250,outlet,33.63837638376384,109,873,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,250,intermediate,32.92988929889299,109,877,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,250,inlet,31.33579335793358,109,886,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,350,outlet,37.18081180811808,125,853,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,350,intermediate,36.11808118081181,125,859,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,350,inlet,33.63837638376384,125,873,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,450,outlet,40.98892988929889,141,832,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,450,intermediate,40.01476014760148,141,837,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,450,inlet,36.29520295202952,141,858,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,550,outlet,45.06273062730627,158,808,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,550,intermediate,43.73431734317343,158,816,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,550,inlet,39.040590405904055,158,842,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,650,outlet,49.22509225092251,174,785,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,650,intermediate,47.276752767527675,174,796,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,650,inlet,41.96309963099631,174,826,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,750,outlet,53.298892988929886,190,762,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,750,intermediate,51.17343173431735,190,774,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,750,inlet,44.974169741697416,190,809,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,850,outlet,57.549815498154985,206,738,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,850,intermediate,55.601476014760145,206,749,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,850,inlet,47.896678966789665,206,792,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,950,outlet,62.066420664206646,222,712,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,950,intermediate,59.85239852398524,222,725,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,950,inlet,51.261992619926204,222,774,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1050,outlet,64.10332103321034,238,701,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1050,intermediate,61.62361623616236,238,715,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1050,inlet,52.76752767527675,238,765,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1150,outlet,59.85239852398524,254,725,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1150,intermediate,57.37269372693727,254,739,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1150,inlet,49.667896678966784,254,782,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1250,outlet,55.42435424354244,270,750,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1250,intermediate,53.4760147601476,270,761,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1250,inlet,46.56826568265683,270,800,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1350,outlet,51.17343173431735,286,774,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1350,intermediate,49.579335793357934,286,783,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1350,inlet,43.55719557195572,286,817,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1450,outlet,46.922509225092256,302,798,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1450,intermediate,45.50553505535055,302,806,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1450,inlet,40.369003690036905,302,835,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1550,outlet,42.67158671586716,319,822,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1550,intermediate,41.43173431734317,319,829,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1550,inlet,37.535055350553506,319,851,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1650,outlet,38.686346863468636,335,844,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1650,intermediate,37.97785977859779,335,848,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1650,inlet,34.70110701107011,335,867,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1750,outlet,34.70110701107011,351,867,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1750,intermediate,34.34686346863469,351,869,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1750,inlet,32.04428044280443,351,882,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1850,outlet,31.15867158671587,367,887,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1850,intermediate,30.62730627306273,367,890,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1850,inlet,29.564575645756456,367,896,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1950,outlet,27.793357933579337,383,906,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1950,intermediate,27.43911439114391,383,908,0.75,Guo2024 Fig.5(e)
ramp_2A,calibration,1950,inlet,27.2619926199262,383,909,0.75,Guo2024 Fig.5(e)
ramp_4A,final_confirmation,50,outlet,28.14760147601476,480,904,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,50,intermediate,27.793357933579337,480,906,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,50,inlet,27.43911439114391,480,908,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,150,outlet,31.33579335793358,496,886,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,150,intermediate,30.62730627306273,496,890,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,150,inlet,29.564575645756456,496,896,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,250,outlet,34.87822878228782,512,866,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,250,intermediate,34.169741697416974,512,870,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,250,inlet,31.867158671586715,512,883,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,350,outlet,38.9520295202952,529,843,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,350,intermediate,37.88929889298893,529,849,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,350,inlet,34.70110701107011,529,867,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,450,outlet,42.67158671586716,545,822,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,450,intermediate,41.608856088560884,545,828,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,450,inlet,37.35793357933579,545,852,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,550,outlet,46.922509225092256,561,798,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,550,intermediate,45.41697416974169,561,806,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,550,inlet,40.369003690036905,561,835,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,650,outlet,51.17343173431735,577,774,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,650,intermediate,49.40221402214022,577,784,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,650,inlet,43.025830258302584,577,820,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,750,outlet,55.247232472324725,593,751,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,750,intermediate,52.944649446494466,593,764,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,750,inlet,46.2140221402214,593,802,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,850,outlet,59.321033210332104,609,728,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,850,intermediate,57.1070110701107,609,740,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,850,inlet,49.0479704797048,609,786,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,950,outlet,64.28044280442805,625,700,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,950,intermediate,61.62361623616236,625,715,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,950,inlet,52.76752767527675,625,765,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1050,outlet,61.800738007380076,642,714,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1050,intermediate,59.321033210332104,642,728,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1050,inlet,50.81918819188192,642,776,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1150,outlet,57.284132841328415,658,740,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1150,intermediate,54.8929889298893,658,753,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1150,inlet,47.630996309963095,658,794,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1250,outlet,53.12177121771218,674,763,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1250,intermediate,51.17343173431735,674,774,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1250,inlet,44.619926199262,674,811,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1350,outlet,48.87084870848709,690,787,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1350,intermediate,47.09963099630996,690,797,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1350,inlet,41.7859778597786,690,827,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1450,outlet,44.70848708487085,706,810,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1450,intermediate,43.380073800738,706,818,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1450,inlet,38.686346863468636,706,844,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1550,outlet,40.90036900369004,722,832,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1550,intermediate,39.74907749077491,722,838,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1550,inlet,36.11808118081181,722,859,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1650,outlet,36.82656826568265,738,855,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1650,intermediate,35.9409594095941,738,860,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1650,inlet,33.284132841328415,738,875,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1750,outlet,32.752767527675275,755,878,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1750,intermediate,32.398523985239855,755,880,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1750,inlet,30.538745387453872,755,890,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1850,outlet,29.387453874538746,771,897,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1850,intermediate,29.033210332103323,771,899,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1850,inlet,28.32472324723247,771,903,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1950,outlet,27.43911439114391,787,908,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1950,intermediate,27.70479704797048,787,906,0.75,Guo2024 Fig.5(f)
ramp_4A,final_confirmation,1950,inlet,27.616236162361623,787,907,0.75,Guo2024 Fig.5(f)
