PWM_percent,purpose,time_s,average_temperature_C,pixel_x,pixel_y,uncertainty_C,source
40,calibration,150,33.96449704142012,127,324,1.0,Guo2024 Fig.11
40,calibration,250,37.98816568047337,180,307,1.0,Guo2024 Fig.11
40,calibration,350,41.77514792899409,233,291,1.0,Guo2024 Fig.11
40,calibration,450,46.03550295857988,286,273,1.0,Guo2024 Fig.11
40,calibration,550,50.05917159763314,339,256,1.0,Guo2024 Fig.11
40,calibration,650,54.55621301775148,392,237,1.0,Guo2024 Fig.11
40,calibration,750,59.053254437869825,445,218,1.0,Guo2024 Fig.11
60,validation,150,33.72781065088758,127,325,1.0,Guo2024 Fig.11
60,validation,250,36.5680473372781,180,313,1.0,Guo2024 Fig.11
60,validation,350,39.40828402366864,233,301,1.0,Guo2024 Fig.11
60,validation,450,42.24852071005917,286,289,1.0,Guo2024 Fig.11
60,validation,550,45.32544378698225,339,276,1.0,Guo2024 Fig.11
60,validation,650,48.40236686390533,392,263,1.0,Guo2024 Fig.11
60,validation,750,51.71597633136095,445,249,1.0,Guo2024 Fig.11
60,validation,850,55.02958579881657,498,235,1.0,Guo2024 Fig.11
60,validation,950,58.34319526627219,551,221,1.0,Guo2024 Fig.11
80,final_confirmation,150,32.544378698224854,127,330,1.0,Guo2024 Fig.11
80,final_confirmation,250,34.91124260355029,180,320,1.0,Guo2024 Fig.11
80,final_confirmation,350,36.80473372781065,233,312,1.0,Guo2024 Fig.11
80,final_confirmation,450,39.171597633136095,286,302,1.0,Guo2024 Fig.11
80,final_confirmation,550,41.53846153846154,339,292,1.0,Guo2024 Fig.11
80,final_confirmation,650,43.90532544378698,392,282,1.0,Guo2024 Fig.11
80,final_confirmation,750,46.98224852071006,445,269,1.0,Guo2024 Fig.11
80,final_confirmation,850,49.585798816568044,498,258,1.0,Guo2024 Fig.11
80,final_confirmation,950,51.95266272189349,551,248,1.0,Guo2024 Fig.11
