% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 17 2026, 18:13"
% Table,表格 - 
% Time (s),状态变量 s0,状态变量 s1,状态变量 s2,状态变量 s3,状态变量 s4 (W),状态变量 s5 (W/K),状态变量 s6 (W/K),状态变量 s7
50,27.431723727800136,27.78800983302618,28.142566141147412,28.142566141147412,108.24000000000001,171.61572706964162,-63.375727069641734,9.190316242277718E-14
100,25.987367934812436,26.33097249208321,26.63393932188115,26.63393932188115,227.36,119.08588065640241,108.27410091456765,8.10566061686583E-6
150,28.40676844995385,29.068630395250686,29.658551799959568,29.658551799959568,227.36,217.24409882254983,10.115888447830951,5.598882483604923E-6
200,28.425762305634674,29.091154397551676,29.684232322798568,29.684232322798568,357.36,218.05234127006912,139.30763038233772,7.932503110460264E-6
250,31.050846944302933,32.11623767218488,33.077646361581216,33.077646361581216,357.36,326.9275042904287,30.43247335300176,6.25603579089303E-6
300,31.1091452144641,32.18391535136135,33.15380286889152,33.15380286889152,498.24000000000007,329.3584643504015,168.88152063163318,3.0142030711109136E-6
350,33.92905811346748,35.49180755259352,36.918117150034846,36.918117150034846,498.24000000000007,448.8429071444851,49.397017667490346,1.5090724279977837E-5
400,34.023719212301756,35.60157582688541,37.04162234506621,37.04162234506621,650,452.78883000370314,197.21111859105315,7.908499041010285E-6
450,37.02804285524016,39.18814694223734,41.179463905589984,41.179463905589984,650,582.7922694913924,67.20766562425749,9.98220770480447E-6
500,37.15652809900154,39.33738988428058,41.34767622342354,41.34767622342354,812.64,588.1613786183809,224.47858591283205,4.364637110964805E-6
550,40.33520773473417,43.19891207552231,45.86210846156944,45.86210846156944,812.64,728.6078976726462,84.03204494106258,7.06171136617388E-6
600,40.49531434989126,43.385386280866925,46.072790664957424,46.072790664957424,986.1600000000002,735.3217242574822,106.24198475691327,14.66255891392927
650,43.83860696121437,47.518478248376205,50.96725389763681,50.96725389763681,986.1600000000002,886.1477913012752,100.01212144541539,8.847784297668394E-6
