scenario,seed,single_zone_RMSE_C,single_Tmax_RMSE_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_zone_accuracy_percent,gated_zone_RMSE_C,gated_Tmax_RMSE_C,gated_maximum_absolute_error_C,gated_q95_absolute_error_C,gated_hotspot_zone_accuracy_percent,Tmax_RMSE_improvement_percent,bank_enabled_fraction
V15_synthetic_final_parent,0,2.950673488948456,1.1083091527698283,15.131121015254735,6.965738423206078,97.5,2.832682890261605,0.9827458051392352,15.241861703109905,6.967519870281651,97.5,11.32927101763906,0.8048780487804879
V15_synthetic_final_parent,1,2.9552592785310923,1.1014203351985974,15.201162103703318,7.0299845184789564,95.0,2.8662108216470092,0.971806329658354,15.309758938074253,7.037457959567387,97.5,11.767896542138262,0.8536585365853658
V15_synthetic_final_parent,2,2.9495175279954133,1.1045651277109882,15.16614468822872,6.88436099465868,95.0,2.8817868474244492,0.9626307796688189,15.275849262550409,6.906239140353608,97.5,12.849794410611407,0.8780487804878049
V15_synthetic_final_parent,3,2.9595829753979963,1.115700802072315,15.1866356365028,6.957944525402557,95.0,2.8866065060688144,0.9896476056681364,15.29584672624523,6.972158060716459,97.5,11.298118292112541,0.8048780487804879
V15_synthetic_final_parent,4,2.9597906101927745,1.1060587873889751,15.158040636664353,7.012881753686495,97.5,2.882636797296827,0.9732562301257078,15.267944154951877,7.020392082542726,97.5,12.00682628965577,0.8292682926829268
V15_synthetic_final_parent,5,2.9452972147593877,1.1157070306758778,15.148460427778858,6.907600868769582,97.5,2.851219104640019,0.9727562200165762,15.25859016248149,6.906227456717366,97.5,12.812575947711311,0.8536585365853658
V15_synthetic_final_parent,6,2.9601645619081967,1.1094942123903768,15.257108300396318,6.967833419843105,95.0,2.9064192723152744,0.9738117302108974,15.364069191578828,6.975312820638048,97.5,12.229219464530148,0.8292682926829268
V15_synthetic_final_parent,7,2.9551007920989205,1.1160831938007327,15.20517846399244,6.950880253121108,97.5,2.8721994673736178,0.9897682218925354,15.313784259738597,6.956638822019386,97.5,11.317702175770759,0.8536585365853658
V15_synthetic_final_parent,8,2.9542625258751194,1.110281805947647,15.184435802753391,6.941508348852948,97.5,2.874668137407723,0.9749260413277512,15.293595207039175,6.9675433542755565,97.5,12.191117957153859,0.8536585365853658
V15_synthetic_final_parent,9,2.946478578329727,1.113181654190565,15.105492501497366,6.969692909800138,97.5,2.8885919548115546,0.9723250118082133,15.216921652887045,6.945423603523193,97.5,12.653518125464773,0.8536585365853658
