scenario,feasible_scenario,controller,feedback_source,reference_temperature_C,maximum_hotspot_C,maximum_hotspot_after_60s_C,reference_tracking_error_mean_C,reference_tracking_error_rmse_C,hotspot_violation_rmse_above_reference_C,time_above_reference_s,maximum_gradient_C,mean_gradient_C,gradient_rmse_C,mean_temperature_tracking_rmse_C,fan_energy_proxy_duty2_h,mean_absolute_duty_rate_per_s,airflow_direction_switches,direction_switch_cost_proxy,maximum_absolute_energy_residual_W,actuator_saturation_fraction,thermal_constraint_infeasible_fraction,safe_limit_configured,safe_temperature_C,time_above_safe_limit_s,safe_limit_violation_rmse_C,safety_conclusion_permitted,mean_estimated_hotspot_error_C,hotspot_estimation_rmse_C
nominal,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.39128172157666,56.094524012251014,0.23952933761629616,0.41418856854246255,0.40928737175279506,982.0,2.01214223764093,0.3564099341371573,0.4653429304993476,0.258211454858132,0.0028038425132095143,0.0003123198242147395,16,32.0,1.198152688175469e-11,0.0,0.0,False,,,,False,,
nominal,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.427624051149344,56.06185268103843,0.23218578917923383,0.4132178916665406,0.4079507330222814,964.0,2.01214223764093,0.33435897003957427,0.4480598268983563,0.26436684552125844,0.0028047362265256246,0.0009680693662959707,18,36.0,1.2311041075463436e-11,0.0,0.0,False,,,,False,0.005399755458096776,0.045977304038598114
nominal,True,FiveNodeMean-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.37796833430165,56.01602233377696,0.22651366152133315,0.39756956080474026,0.392131383384378,984.0,2.01214223764093,0.3346803282619897,0.4465031224067054,0.25490650763921896,0.0028029573413529884,0.0013880751124278905,18,36.0,1.1809220268332865e-11,0.0,0.0,False,,,,False,0.005070882975119304,0.04502038152384637
nominal,True,Hotspot-MPC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.344319167389415,55.063477348624495,-0.6357289903809739,0.7228399103376112,0.07712428969604239,24.0,2.01214223764093,0.12025063335572674,0.2244474491353172,0.7668387572284762,0.0038666666666666676,0.036000000000000004,73,146.0,1.2008172234345693e-11,0.0,0.0,False,,,,False,0.012930392036147886,0.044155076562269975
critical_load_plus_25pct,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.47281777879646,56.2904689399428,0.2544236391003839,0.4750700272299067,0.46506039258350085,939.0,2.01214223764093,0.35162399837104125,0.45791699239607947,0.3383468185428237,0.004766661393418094,0.00041226822358250616,21,42.0,1.127276050283399e-11,0.0,0.0,False,,,,False,,
critical_load_plus_25pct,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.56263578376955,56.393093523854894,0.26140329584468025,0.48770553967688207,0.4776547048657151,922.0,2.01214223764093,0.35777256446799915,0.46626975998813686,0.34273621706262797,0.004769704928537794,0.0010194950186269633,21,42.0,1.2398304605198973e-11,0.0,0.0,False,,,,False,0.004001009672112975,0.046733404835321145
critical_load_plus_25pct,True,FiveNodeMean-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.45254803102523,56.392507756109204,0.25457738152208736,0.47177582582092636,0.4615680871441783,925.0,2.01214223764093,0.3558953482986825,0.46164452713002313,0.3319569651183739,0.004765564195879101,0.0014383867682599687,21,42.0,1.269029326067539e-11,0.0,0.0,False,,,,False,0.004043213273620018,0.04674596554771829
critical_load_plus_25pct,True,Hotspot-MPC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.344319167389415,55.17471610574177,-0.47446221666721233,0.6152260611037282,0.07860319463574786,74.0,2.01214223764093,0.1463359997754583,0.24010028171982029,0.6618638955290076,0.006119444444444446,0.037583333333333344,71,142.0,1.2150280781497713e-11,0.0,0.0,False,,,,False,0.01117409388337936,0.048353325202826335
plant_mismatch,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.40634413599463,56.26220827075976,0.24470071954387732,0.4467454383256442,0.43862226390961073,934.0,2.01214223764093,0.3440132282290051,0.445138194847339,0.31291127991163215,0.00416683011479382,0.0003846098345493353,19,38.0,1.0437872788315872e-11,0.0,0.0,False,,,,False,,
plant_mismatch,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.52762504783068,56.52762504783068,0.4797869813139456,0.6071017729975123,0.6070525851720545,1180.0,2.01214223764093,0.3655213838763104,0.4774988714586054,0.42447805181303655,0.004009318533332888,0.0009959590504862606,20,40.0,1.1500134178277222e-11,0.0,0.0,False,,,,False,-0.06679266951394772,0.10432925355281537
plant_mismatch,True,FiveNodeMean-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.44268886487658,56.44268886487658,0.391098663657003,0.5340263891734115,0.5332030431065141,1156.0,2.01214223764093,0.3660034918299586,0.47674154841776983,0.3603738972055553,0.004066386477580833,0.0014247751515162066,20,40.0,1.1366907415322203e-11,0.0,0.0,False,,,,False,-0.06722196576677528,0.10482312631615809
plant_mismatch,True,Hotspot-MPC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.344319167389415,55.71292122700652,-0.2816986074719773,0.5010989565925295,0.15815522073678748,355.0,2.01214223764093,0.161806508171021,0.26043572340080945,0.5268653766243453,0.0052000000000000015,0.034166666666666665,69,138.0,1.2732925824820995e-11,0.0,0.0,False,,,,False,-0.03447511257544708,0.07455609552665558
measurement_noise,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.39128172157666,56.094524012251014,0.23952933761629616,0.41418856854246255,0.40928737175279506,982.0,2.01214223764093,0.3564099341371573,0.4653429304993476,0.258211454858132,0.0028038425132095143,0.0003123198242147395,16,32.0,1.198152688175469e-11,0.0,0.0,False,,,,False,,
measurement_noise,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.46835402769419,56.046735840730264,0.23933533011579364,0.4134935444203057,0.4078300253225274,988.0,2.01214223764093,0.356516586964934,0.46682949933511414,0.25876576523342637,0.0028030810515450254,0.0011773157715172988,17,34.0,1.305267005591304e-11,0.0,0.0,False,,,,False,0.011190675901132891,0.0726789725712799
measurement_noise,True,FiveNodeMean-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.391435019435534,56.052060101664196,0.23326315707826567,0.3988512048896157,0.3928025086567708,987.0,2.01214223764093,0.35388367036908214,0.4616467094854543,0.2499445912577081,0.002801017589239736,0.0015971856978552286,17,34.0,1.2023271267480595e-11,0.0,0.0,False,,,,False,0.011266480569480932,0.07274420754900106
measurement_noise,True,Hotspot-MPC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.344319167389415,55.14109043390983,-0.653017875250144,0.758920676353434,0.0772837351702725,27.0,2.01214223764093,0.13084836476766454,0.22613101713408712,0.8067895441830579,0.00398888888888889,0.035500000000000004,72,144.0,1.34718902700115e-11,0.0,0.0,False,,,,False,0.02071865774720152,0.07308650459927633
load_preview_minus_10pct,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.39128172157666,56.094524012251014,0.23952933761629616,0.41418856854246255,0.40928737175279506,982.0,2.01214223764093,0.3564099341371573,0.4653429304993476,0.258211454858132,0.0028038425132095143,0.0003123198242147395,16,32.0,1.198152688175469e-11,0.0,0.0,False,,,,False,,
load_preview_minus_10pct,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.42297863065347,56.29668131740512,0.35442597248382796,0.4876795241068063,0.48692992360554965,1116.0,2.01214223764093,0.35009332555774875,0.4638123860240252,0.3098570501701007,0.002748695802134994,0.0009512560850843262,17,34.0,1.2754242106893798e-11,0.0,0.0,False,,,,False,-0.044999919455103406,0.07978487640181657
load_preview_minus_10pct,True,FiveNodeMean-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.37340192318784,56.221408203632976,0.30699233855628,0.448717893721394,0.44667864859209205,1086.0,2.01214223764093,0.34896239103709215,0.4607099599967069,0.2797027406948897,0.00276882938814523,0.0013946093291687142,17,34.0,1.202082877682642e-11,0.0,0.0,False,,,,False,-0.045090160293632026,0.07984575572399147
load_preview_minus_10pct,True,Hotspot-MPC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.344319167389415,55.2958182353644,-0.4641093452269959,0.6045292310851439,0.09055711644297364,200.0,2.01214223764093,0.12802038178032843,0.23118478568612466,0.6440546277589099,0.003855555555555556,0.035833333333333335,70,140.0,1.1709744285326451e-11,0.0,0.0,False,,,,False,-0.018412033176933275,0.059404314471993375
ambient_plus_5C,True,AuthorMeasured-PI-SMC,direct measured three-zone temperatures,55.0,56.42007581154216,56.22549819081499,0.24953738658496244,0.45947981600046167,0.4499299944926903,934.0,2.01214223764093,0.3491068474719775,0.4568331359266672,0.3238259086045841,0.004393498194297219,0.00040131036551416683,21,42.0,1.2320811038080137e-11,0.0,0.0,False,,,,False,,
ambient_plus_5C,True,SparseSensor-PI-SMC,nodes 2 and 5 measurements with five-node EKF state,55.0,56.63295154875316,56.63295154875316,0.5240866117848902,0.6462870924402372,0.6462870924402063,1200.0,2.01214223764093,0.39479605835404513,0.515633135700785,0.4449215266278384,0.0041570553361382784,0.0009759929047711702,22,44.0,1.2427392448444152e-11,0.0,0.0,False,,,,False,-0.08120081788999833,0.12571984490481083
