replicate,seed,success,cost,nfev,Kcool_times_Kp,Kcool_times_Ki,independent_validation_rmse_C,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
0,20300715,True,57534.33319713378,29,3.6870941110353765,0.06999358753963934,0.34963704458403927,6914.059872942184,37.93560514653696,10.748904238995731,0.09719349663180374,0.0018450631608292367,7.321965843475137,15.784786991055594,0.7029322142797021
1,20300716,True,57819.79289491726,30,3.5476822487921966,0.07421229297154795,0.3279798609648959,6721.428809928543,38.28449411587343,11.168820247026554,0.09266629560402798,0.0019384425649437594,6.072826922157976,15.441352187965824,0.6710947360913716
2,20300717,True,58201.38864234797,24,5.624636869610008,0.06933544305191569,0.3579123204288924,8875.54369469736,42.42419192046423,13.024704013641111,0.13258088404264554,0.0016343373889573186,7.791195917615844e-10,24.17267193978716,0.5243378447804264
3,20300718,True,48282.07761734508,26,3.5480670532952816,0.07425359813631575,0.32789987922795544,6726.343753373917,38.29191565309384,11.157201138026096,0.09265838474729356,0.0019391455577468962,6.135667201815296,15.446911300627283,0.6711254843292933
4,20300719,True,53923.22665559982,19,3.262929173422895,0.07952401422507907,0.32758316016934136,6750.674822218233,36.51624433810482,11.13906387269286,0.08935555209926169,0.0021777708980355217,3.256446684015231e-10,17.743009330242824,0.6491071269742547
5,20300720,True,55876.62483513533,30,5.093301371098801,0.0697826040918431,0.32905456411592016,6807.387041535508,45.2860102839867,11.16641745712984,0.11246964215127185,0.0015409307124703473,28.895854312195283,16.645331136708318,0.4922449399148418
6,20300721,True,40879.173929053904,31,3.557668381579887,0.07424400480182448,0.32757490131939354,6721.179464915297,38.314862155216375,11.167864880903286,0.09285348247287191,0.0019377338355298388,6.17471950220248,15.439718749281386,0.6700671121823353
7,20300722,True,47792.55023390497,29,3.558599179074255,0.07425403542983669,0.327806587304934,6729.0876313119,38.31870139282428,11.148981340231012,0.09286847021753857,0.0019378014580562434,6.15226962812892,15.449004066784898,0.6710494002486247
8,20300723,True,52297.49513948368,36,3.4975721726206994,0.07664579417607956,0.3282643570180983,6945.245232211067,38.22977148648887,10.709079757367181,0.09148817888845628,0.0020048718889980194,8.677022850593248,15.762654351978867,0.6835739076376595
9,20300724,True,61753.48786233547,8,4.050094021571028,0.07294399157205594,0.4261771614073899,6907.858329726301,38.622080003405415,10.238603031557796,0.10486473077612393,0.00188866036126548,1.4139242329719423e-06,12.585374086569635,1.15804862595532
10,20300725,True,60409.47268930196,29,2.761392800526993,0.08465554281851806,0.27667026907985653,8011.276990578328,35.38562063258944,11.225742121223492,0.07803714478258454,0.002392371288255773,73.56205475147871,15.446557324985578,0.45219962219785503
11,20300726,True,54771.03436472601,18,3.5323242481325314,0.07399210363014348,0.29791014802099525,7476.547737295307,38.293109469947446,11.280968247984227,0.09224438278914672,0.0019322563420505908,79.11735442045172,18.063459471072278,0.0008053038971606074
12,20300727,True,69171.2211660785,18,4.226188806283195,0.07430752315906079,0.3049660537917724,7765.714912420157,37.95390557580333,11.31302776636802,0.11135056437979622,0.001957836012703628,6.434366425125535,27.31513240225255,7.76210942608882e-06
13,20300728,True,59495.467892811124,18,4.478371168808918,0.08217602254330973,0.35908420570466293,7536.9117877437375,44.09065321295417,11.418835564668132,0.10157189432369622,0.0018637968946934491,117.56026352767731,3.723019485102285e-08,1.428997241298287
14,20300729,True,50717.03953447897,22,4.587764724066824,0.09430652888292834,0.28919624424156226,8496.693905437627,42.84571051284515,13.72369516468953,0.10707640669633456,0.002201072820455509,9.461564573460343,26.350260108526726,0.24927579007601355
15,20300730,True,68288.4475966527,26,4.715666408005194,0.08915992187660411,0.3910492016390945,7637.037474662539,43.897727920215054,10.812781240170136,0.10742392901464072,0.0020310828396096934,1.9158683939673375,11.50467583867242,1.3813750176299757
16,20300731,True,63247.992172902836,25,3.5550888942313015,0.07670386188556932,0.3997198708139806,7543.279488642408,38.74651553837456,10.989171699792086,0.09175248005747356,0.0019796325119765105,3.921694324016743,14.291049466790517,1.0371633577231554
17,20300732,True,64722.4471072037,21,3.683225037050998,0.08247005341566714,0.4311231056761502,7213.679173203525,38.98367605658753,10.54978324064339,0.0944812139241189,0.0021155022244684187,8.862454099130499e-05,12.048476994844988,1.3518248361385516
18,20300733,True,52936.16312527478,32,4.601686250132201,0.07746235072999416,0.3127707724444963,6848.769241465121,42.64267900033863,11.389051805154741,0.10791269118189452,0.001816545126758547,35.32041188717737,15.49622962023809,0.5372130328809768
19,20300734,True,54812.025394460754,25,3.5479653007781415,0.07416185667968082,0.3281733238135637,6725.1134128675585,38.27752406765395,11.16161954605982,0.0926905641678197,0.0019374778929954505,6.106459003872227,15.44504168487944,0.6711695789069239
20,20300735,True,58236.93480212297,24,4.255715033464526,0.05077323553988839,0.4388496187355973,7360.316463305126,33.07078222576568,10.884735380075382,0.1286850430211133,0.0015352898275363624,5.26853695141846,16.14198969085643,0.7353693885305953
21,20300736,True,57111.983423528996,27,3.830504452114758,0.06864695426828825,0.34729425809197506,6818.042968924607,38.07421988959292,10.957920157237076,0.1006062491423961,0.0018029773024201077,6.760319349118205,15.646197159793115,0.6858731191250518
22,20300737,True,75697.85791563516,25,4.842904989733162,0.07769624556491035,0.3319762317543113,6896.616809564927,44.61293121725968,10.622489058454573,0.10855383983062646,0.0017415633415015673,14.646522754509526,16.667257061038185,0.7261474634834593
23,20300738,True,65791.7758483851,27,3.521684818618518,0.08525121741687107,0.31737157118809967,8029.146045881536,39.47432282646494,10.233168569900297,0.08921457206752789,0.002159662568288967,16.327228139495073,16.24819779663722,0.6782536062575611
24,20300739,True,53979.62241930961,31,3.1491214769296785,0.07525777673885162,0.3400402535521481,6983.372352524795,36.90128017261833,10.767765562289974,0.08533908477425683,0.0020394353905015677,6.759710345341899,15.711546641194996,0.70512120474488
25,20300740,True,49332.0110828094,26,4.287552491679705,0.07582693635340305,0.35503397528458197,6721.425258448473,41.52471896506701,10.91219643412956,0.10325301648125883,0.001826067418233295,1.8347186002769837,13.859608059565891,0.8951962243417392
