sensor_count,sensor_nodes_1_based,mean_hotspot_rmse_C,worst_hotspot_rmse_C,mean_position_accuracy
1,3,0.139255140306671,0.3254300574827934,0.6820506720589984
1,4,0.15647269113743503,0.47967477544880704,0.6859759724039491
1,2,0.16530592302118638,0.4566215398549682,0.6921612941596289
1,5,0.1867425958304427,0.6681059712464552,0.7497323658855716
1,1,0.20289057301251817,0.6389921578300731,0.7314142976091352
2,"2,5",0.06417209217883431,0.11717301154642251,0.7585345545378851
2,"1,5",0.07006153454634756,0.1577175126858958,0.7879148328773641
2,"1,4",0.07499297425396202,0.11385083585043823,0.7447365290829071
2,"2,4",0.07744712236968777,0.14247712243721428,0.6946592125609611
2,"3,5",0.09927993617727857,0.28192826557199496,0.7556797906506484
2,"3,4",0.10876317963308495,0.29117253311781743,0.6637326037825622
2,"2,3",0.11662137903140912,0.290618862053135,0.6442250505531105
2,"1,3",0.12032674365166085,0.2772326845657482,0.7245152848816463
2,"4,5",0.14153462621066262,0.4677151970861986,0.7017961222790532
2,"1,2",0.1597447456876408,0.45059345704309567,0.6835970024979184
3,"1,3,5",0.0552983287600756,0.0711852135006293,0.8049244677054835
3,"1,4,5",0.057902886794781075,0.08690708996894546,0.759842987986202
3,"1,2,5",0.05857375860875229,0.08914840042887212,0.7670988461995956
3,"2,4,5",0.06173700070092646,0.11182466584903558,0.721779469489711
3,"2,3,5",0.06281084116668165,0.11464814527800546,0.7287974307125015
3,"1,2,4",0.07369366545076908,0.10873381967725126,0.7128583323420958
3,"1,3,4",0.07429789115246244,0.11174012892996098,0.7208278815272987
3,"2,3,4",0.07834273537771566,0.14466959056628548,0.6544546211490425
3,"3,4,5",0.09720991644743311,0.28363463517349097,0.6991792553824194
3,"1,2,3",0.11626567203469007,0.28238746824938676,0.6803853931247769
