scenario,noise_seed,test,hotspot_rmse_C,mean_node_rmse_C,maximum_absolute_error_C,q95_absolute_error_C,hotspot_position_accuracy,exact_model_final_probability
capacity_low,0,single,0.07666223835777844,0.06333594344929444,0.25,0.12434125479943393,0.8852459016393442,
capacity_low,0,exact_in_bank,0.06647271869567457,0.051461875523162615,0.25,0.09938917983612472,0.9344262295081968,0.9995860936314833
capacity_low,0,leave_one_out,0.0777772999346417,0.06478913334345159,0.25,0.12814273052774897,0.8852459016393442,
capacity_low,1,single,0.06538529113959454,0.05949896852090764,0.25,0.10105382184305545,0.9180327868852459,
capacity_low,1,exact_in_bank,0.0626630772482628,0.050292620967850234,0.25,0.0930025568508853,0.9344262295081968,0.9996001208952776
capacity_low,1,leave_one_out,0.0659521382594833,0.059856523852838926,0.25,0.101644070480846,0.9180327868852459,
capacity_low,2,single,0.06257583385957123,0.07302115631796921,0.3825672168524079,0.13250229750035206,0.8360655737704918,
capacity_low,2,exact_in_bank,0.06003657257580124,0.0603348947302372,0.3533739675020868,0.11805646330288234,0.8852459016393442,0.9994300701256694
capacity_low,2,leave_one_out,0.06537665102659809,0.07345528917214339,0.35268048677967556,0.13665693111389743,0.8524590163934426,
capacity_high,0,single,0.05405269224780169,0.05674085647442348,0.25,0.11111794762886408,0.9672131147540983,
capacity_high,0,exact_in_bank,0.05266979950748431,0.0527340787966458,0.25,0.1059604757964465,0.9672131147540983,0.9555278723714369
capacity_high,0,leave_one_out,0.054460641568990165,0.05712866805527737,0.25,0.11008331634248807,0.9672131147540983,
capacity_high,1,single,0.07725942329713884,0.0686199465096757,0.28152704615091295,0.125,0.819672131147541,
capacity_high,1,exact_in_bank,0.07054755334960966,0.06258993292395451,0.26282084575356635,0.11732651079037455,0.8032786885245902,0.8730134825447624
capacity_high,1,leave_one_out,0.07820102687989929,0.06876202781662615,0.25463368089663874,0.1279023017025168,0.819672131147541,
capacity_high,2,single,0.07009974165469836,0.051463315694020066,0.25,0.09898458450325479,0.8360655737704918,
capacity_high,2,exact_in_bank,0.06519140354662402,0.046249838953569586,0.25,0.09259905582513146,0.8360655737704918,0.9569296260389385
capacity_high,2,leave_one_out,0.07029573156635471,0.051648526950976555,0.25,0.09789159438519454,0.8360655737704918,
cooling_low,0,single,0.6073481142574821,0.8539581809152013,2.0325832609047083,1.7681582091172743,0.9016393442622951,
cooling_low,0,exact_in_bank,0.05715309299504468,0.042100320760186674,0.25,0.07542391531800662,0.819672131147541,0.9996001599360256
cooling_low,0,leave_one_out,0.5590129429440622,0.8047622268711866,1.90122080091205,1.6505761816542261,0.8524590163934426,
cooling_low,1,single,0.6102708502083076,0.8557062348652343,2.02851489455432,1.7789050584700463,0.9180327868852459,
cooling_low,1,exact_in_bank,0.059469093024598206,0.04583945693977301,0.25,0.08794038156871267,0.9016393442622951,0.9996001599360256
cooling_low,1,leave_one_out,0.5629089159538428,0.8068938390534637,1.8970219772448473,1.6636869180309617,0.9016393442622951,
cooling_low,2,single,0.6112408847554048,0.8650141853824388,2.0583326652659224,1.8056480897960079,0.8852459016393442,
cooling_low,2,exact_in_bank,0.056282124981302875,0.05061492530732175,0.25,0.10031747451649412,0.819672131147541,0.9996001599360256
cooling_low,2,leave_one_out,0.5616885234679704,0.816405811598033,1.9297141975438947,1.6762850319034501,0.8688524590163934,
input_low,0,single,0.4861263070316144,0.4936143410135519,1.1082611831581275,0.9854103521651112,0.26229508196721313,
input_low,0,exact_in_bank,0.06370249450974644,0.04955207981285549,0.25,0.096093260963427,0.8852459016393442,0.9996001599360256
input_low,0,leave_one_out,0.46593759809644625,0.4756385229675937,1.105551238375753,0.9684844022480334,0.22950819672131148,
input_low,1,single,0.48138310598096096,0.4854136862397233,1.1278070575715944,0.9766275111896874,0.2786885245901639,
input_low,1,exact_in_bank,0.05473630711900586,0.04975742755119747,0.25,0.09743162711253035,0.9508196721311475,0.9996001599356898
input_low,1,leave_one_out,0.4597468809808026,0.46719976333126034,1.1185750738174391,0.9608161632476014,0.22950819672131148,
input_low,2,single,0.4857363014786639,0.4938251312039389,1.148145698729735,1.0022475216583275,0.2459016393442623,
input_low,2,exact_in_bank,0.058917560877590085,0.051223736972897664,0.25,0.11087268097147249,0.8852459016393442,0.9996001599360256
input_low,2,leave_one_out,0.46603257668266945,0.47626054875858215,1.1514940385715917,0.9898025443153146,0.22950819672131148,
