scenario,feasible,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction
nominal,True,AuthorMeasured-PI-SMC,56.344319167389415,1.3443191673894148,0.40277853029349225,0.4691429299259621,0.002817150493705708,19,0.2502173072654735,1.2390088954816747e-12,0.0
nominal,True,SparseSensor-PI-SMC,56.34768454804713,1.347684548047127,0.4192541734638224,0.4780370110409511,0.0028104370819921056,18,0.2585096172527464,1.1155520951433573e-12,0.0
nominal,True,MeanTemperature-MPC,56.962710987845405,1.962710987845405,1.0464140000366602,1.9903364270066863,0.002784722222222223,0,0.15928179550573218,9.166001291305292e-13,0.0
nominal,True,Hotspot-MPC,56.469020927998876,1.4690209279988764,0.8806218543827513,2.017653009468463,0.0029027777777777784,0,0.2411715955340027,1.2390088954816747e-12,0.0
critical,True,AuthorMeasured-PI-SMC,56.452236730071604,1.4522367300716041,0.4588525919588014,0.4754084108136624,0.004789457595801235,25,0.32839890820292955,1.2612133559741778e-12,0.0
critical,True,SparseSensor-PI-SMC,56.42719403512634,1.427194035126341,0.4642176211065418,0.4819288187511703,0.004787932574480577,24,0.32966771801057054,1.3073986337985843e-12,0.0
critical,True,MeanTemperature-MPC,57.218777070491306,2.2187770704913063,1.2498972531404853,2.43169235384279,0.004812500000000001,0,0.14796366716740597,9.237055564881302e-13,0.0
critical,True,Hotspot-MPC,58.278657500473884,3.2786575004738836,1.1357078177742388,2.1148771481355553,0.004993055555555556,1,0.6710286505008478,9.9298347322474e-13,0.0
mismatch,True,AuthorMeasured-PI-SMC,56.3582548275226,1.3582548275226003,0.44304016895287246,0.4717198714764444,0.004186275998901159,20,0.3035489499615774,8.677503160470224e-13,0.0
mismatch,True,SparseSensor-PI-SMC,56.83440369009485,1.8344036900948524,0.8498953097309458,0.47340764396395857,0.0038169789261667908,19,0.672735650213532,1.163513729807164e-12,0.0
mismatch,True,MeanTemperature-MPC,57.78386116828771,2.7838611682877072,1.5114905263699112,1.7472794146441548,0.003909722222222223,0,0.6500014567658466,7.887024366937112e-13,0.0
mismatch,True,Hotspot-MPC,57.5469179509913,2.5469179509913005,1.363677709857656,1.763877834645906,0.0039652777777777785,0,0.516275083538767,8.348877145181177e-13,0.0
noise,True,AuthorMeasured-PI-SMC,56.344319167389415,1.3443191673894148,0.40277853029349225,0.4691429299259621,0.002817150493705708,19,0.2502173072654735,1.2390088954816747e-12,0.0
noise,True,SparseSensor-PI-SMC,56.344319167389415,1.3443191673894148,0.4218610224380184,0.4906363834756991,0.0028132368191790933,18,0.2646369852499862,8.952838470577262e-13,0.0
noise,True,MeanTemperature-MPC,56.99053254916121,1.990532549161209,1.0166168733588192,1.9890927636225224,0.0028194444444444456,0,0.14805599207646444,1.1013412404281553e-12,0.0
noise,True,Hotspot-MPC,56.470849821179115,1.4708498211791152,0.8801683701984715,2.0176370678261963,0.0029027777777777784,0,0.24174210601477533,9.556799795973347e-13,0.0
preview_minus10,True,AuthorMeasured-PI-SMC,56.344319167389415,1.3443191673894148,0.40277853029349225,0.4691429299259621,0.002817150493705708,19,0.2502173072654735,1.2390088954816747e-12,0.0
preview_minus10,True,SparseSensor-PI-SMC,56.39058835324523,1.390588353245228,0.6072196813542349,0.4817134336368661,0.0026720735741070675,18,0.4195744627359416,1.0347278589506459e-12,0.0
preview_minus10,True,MeanTemperature-MPC,57.49207937266849,2.492079372668492,1.3830595173036382,1.9466680465469488,0.0026111111111111122,0,0.43475368091593725,1.1084466677857563e-12,0.0
preview_minus10,True,Hotspot-MPC,57.4256236364146,2.425623636414599,1.217682852975873,1.9754443042768275,0.0027222222222222235,0,0.3154379959614038,1.1226575225009583e-12,0.0
ambient_plus5,True,AuthorMeasured-PI-SMC,56.38599431810512,1.3859943181051193,0.460728175159472,0.49273991281582225,0.004411862547858582,21,0.3145630058467044,1.0729195309977513e-12,0.0
ambient_plus5,True,SparseSensor-PI-SMC,56.87476085456802,1.8747608545680166,0.9068768007175415,0.4883713776444043,0.0039015005314457173,21,0.7240670644269158,1.1191048088221578e-12,0.0
ambient_plus5,True,MeanTemperature-MPC,58.31734914119743,3.3173491411974325,1.8434543132883696,2.2665042209607553,0.003916666666666667,0,0.7219935993183396,9.876544027065393e-13,0.0
ambient_plus5,True,Hotspot-MPC,57.87355347383157,2.8735534738315707,1.6072193400912635,2.308656261538935,0.00407638888888889,0,0.4952930556604861,1.1368683772161603e-12,0.0
actuator_limited,False,AuthorMeasured-PI-SMC,82.1470419605103,27.147041960510293,11.505879691269648,0.4678547584049158,0.007395569294620372,22,11.410150335488865,1.5347723092418164e-12,0.9669421487603306
actuator_limited,False,SparseSensor-PI-SMC,82.43329929532347,27.433299295323465,11.718523594954583,0.4376748587450191,0.007122946504760478,27,11.635831812688851,1.6768808563938364e-12,0.7851239669421488
actuator_limited,False,MeanTemperature-MPC,83.45819491279886,28.45819491279886,12.454767156974567,2.2369268932638526,0.007159722222222222,0,11.6253312176363,1.8189894035458565e-12,0.9090909090909091
actuator_limited,False,Hotspot-MPC,83.35883817597198,28.358838175971982,12.3466644171507,2.253294379481048,0.007263888888888889,0,11.527083813586659,1.8189894035458565e-12,0.9338842975206612
