config_id,fan_weight,hotspot_weight,gradient_weight,dwell,switch_weight,maximum_duty_step,duty_move_weight,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction,energy_relative_difference_percent,within_5pct_equal_energy
0,1.0,0.5,0.2,10.0,1.0,0.05,0.8,Hotspot-MPC,58.35487362441294,3.3548736244129387,1.0625375164865063,0.7547997666992824,0.005750000000000001,15,0.85793963232028,1.1333156635373598e-12,0.0,20.055348335077493,False
1,1.0,0.5,0.2,10.0,4.0,0.05,0.8,Hotspot-MPC,58.253272539875674,3.253272539875674,0.998920123214531,1.3808413164278215,0.005319444444444445,6,0.9011674873731987,9.094947017729282e-13,0.0,11.065696648151402,False
2,1.0,0.5,0.2,10.0,10.0,0.05,0.8,Hotspot-MPC,57.62362456033195,2.6236245603319475,0.7373804926689684,1.9098613907781097,0.0054861111111111135,2,0.8524225196215548,9.094947017729282e-13,0.0,14.545561817284124,False
3,1.0,0.5,0.2,10.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.3415390668816401,2.5481791917756804,0.005541666666666669,0,0.9995321690915958,1.1723955140041653e-12,0.0,15.705516873661661,False
4,1.0,0.5,0.2,30.0,1.0,0.05,0.8,Hotspot-MPC,58.35487362441294,3.3548736244129387,1.0625375164865063,0.7547997666992824,0.005750000000000001,15,0.85793963232028,1.1333156635373598e-12,0.0,20.055348335077493,False
5,1.0,0.5,0.2,30.0,4.0,0.05,0.8,Hotspot-MPC,58.253272539875674,3.253272539875674,0.998920123214531,1.3808413164278215,0.005319444444444445,6,0.9011674873731987,9.094947017729282e-13,0.0,11.065696648151402,False
6,1.0,0.5,0.2,30.0,10.0,0.05,0.8,Hotspot-MPC,57.62362456033195,2.6236245603319475,0.7373804926689684,1.9098613907781097,0.0054861111111111135,2,0.8524225196215548,9.094947017729282e-13,0.0,14.545561817284124,False
7,1.0,0.5,0.2,30.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.3415390668816401,2.5481791917756804,0.005541666666666669,0,0.9995321690915958,1.1723955140041653e-12,0.0,15.705516873661661,False
8,1.0,0.5,0.2,60.0,1.0,0.05,0.8,Hotspot-MPC,58.62206115839688,3.622061158396882,1.2130159719775027,0.7688565367641848,0.005500000000000001,14,0.9945210297261697,1.0373923942097463e-12,0.0,14.835550581378488,False
9,1.0,0.5,0.2,60.0,4.0,0.05,0.8,Hotspot-MPC,58.253272539875674,3.253272539875674,0.998920123214531,1.3808413164278215,0.005319444444444445,6,0.9011674873731987,9.094947017729282e-13,0.0,11.065696648151402,False
10,1.0,0.5,0.2,60.0,10.0,0.05,0.8,Hotspot-MPC,57.62362456033195,2.6236245603319475,0.7373804926689684,1.9098613907781097,0.0054861111111111135,2,0.8524225196215548,9.094947017729282e-13,0.0,14.545561817284124,False
11,1.0,0.5,0.2,60.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.3415390668816401,2.5481791917756804,0.005541666666666669,0,0.9995321690915958,1.1723955140041653e-12,0.0,15.705516873661661,False
12,1.0,0.5,0.5,10.0,1.0,0.05,0.8,Hotspot-MPC,59.580117651224015,4.580117651224015,1.5963925963015506,0.6724964999468206,0.0054375000000000005,21,1.3723405229267047,1.1368683772161603e-12,0.0,13.530601142953703,False
13,1.0,0.5,0.5,10.0,4.0,0.05,0.8,Hotspot-MPC,59.00178460854099,4.001784608540987,1.462234430398284,0.7859193612846942,0.005222222222222224,12,1.2276106749194382,9.094947017729282e-13,0.0,9.03577529949069,False
14,1.0,0.5,0.5,10.0,10.0,0.05,0.8,Hotspot-MPC,59.179096450661206,4.179096450661206,1.39025639867525,1.3221439213249302,0.005180555555555557,6,1.1590282386196626,1.0533796057643485e-12,0.0,8.165809007207514,False
15,1.0,0.5,0.5,10.0,30.0,0.05,0.8,Hotspot-MPC,58.00594474416653,3.005944744166527,0.8901784991498537,2.135347699389514,0.00526388888888889,1,0.6312563467863597,1.0089706847793423e-12,0.0,9.905741591773843,False
16,1.0,0.5,0.5,30.0,1.0,0.05,0.8,Hotspot-MPC,59.580117651224015,4.580117651224015,1.5963925963015506,0.6724964999468206,0.0054375000000000005,21,1.3723405229267047,1.1368683772161603e-12,0.0,13.530601142953703,False
17,1.0,0.5,0.5,30.0,4.0,0.05,0.8,Hotspot-MPC,59.00178460854099,4.001784608540987,1.462234430398284,0.7859193612846942,0.005222222222222224,12,1.2276106749194382,9.094947017729282e-13,0.0,9.03577529949069,False
18,1.0,0.5,0.5,30.0,10.0,0.05,0.8,Hotspot-MPC,59.179096450661206,4.179096450661206,1.39025639867525,1.3221439213249302,0.005180555555555557,6,1.1590282386196626,1.0533796057643485e-12,0.0,8.165809007207514,False
19,1.0,0.5,0.5,30.0,30.0,0.05,0.8,Hotspot-MPC,58.00594474416653,3.005944744166527,0.8901784991498537,2.135347699389514,0.00526388888888889,1,0.6312563467863597,1.0089706847793423e-12,0.0,9.905741591773843,False
20,1.0,0.5,0.5,60.0,1.0,0.05,0.8,Hotspot-MPC,58.92431203993186,3.9243120399318627,1.3882633945217928,0.7154662808468188,0.005298611111111112,16,1.1724223967115155,1.0516032489249483e-12,0.0,10.630713502009815,False
21,1.0,0.5,0.5,60.0,4.0,0.05,0.8,Hotspot-MPC,59.06004192841208,4.060041928412083,1.4764108261602529,0.7875206101123076,0.0052361111111111115,12,1.2423496859829009,1.1368683772161603e-12,0.0,9.325764063585051,False
22,1.0,0.5,0.5,60.0,10.0,0.05,0.8,Hotspot-MPC,59.179096450661206,4.179096450661206,1.39025639867525,1.3221439213249302,0.005180555555555557,6,1.1590282386196626,1.0533796057643485e-12,0.0,8.165809007207514,False
23,1.0,0.5,0.5,60.0,30.0,0.05,0.8,Hotspot-MPC,58.00594474416653,3.005944744166527,0.8901784991498537,2.135347699389514,0.00526388888888889,1,0.6312563467863597,1.0089706847793423e-12,0.0,9.905741591773843,False
24,1.0,0.5,1.0,10.0,1.0,0.05,0.8,Hotspot-MPC,59.94999849730453,4.949998497304527,1.860036382206246,0.6462178850942827,0.005097222222222223,21,1.6372270041056047,1.0516032489249483e-12,0.0,6.4258764226411635,False
25,1.0,0.5,1.0,10.0,4.0,0.05,0.8,Hotspot-MPC,60.34926974287574,5.349269742875741,2.021304963009872,0.666162777050799,0.004986111111111112,17,1.790910566612077,1.1084466677857563e-12,0.0,4.105966309886044,True
