scenario,seed,single_hotspot_rmse_C,gated_hotspot_rmse_C,gated_loss_percent,bank_enabled_fraction
nominal,0,0.07203515123782356,0.07203515123782356,0.0,0.0
nominal,1,0.055163051034597545,0.055163051034597545,0.0,0.0
nominal,2,0.050854082328021855,0.050854082328021855,0.0,0.0
nominal,3,0.05686642815115482,0.05686642815115482,0.0,0.0
nominal,4,0.06671559776729465,0.06671559776729465,0.0,0.0
nominal,5,0.06328516412165527,0.06328516412165527,0.0,0.0
nominal,6,0.05740410761795471,0.05740410761795471,0.0,0.0
nominal,7,0.05721278205886949,0.05721278205886949,0.0,0.0
nominal,8,0.053879767233834495,0.053879767233834495,0.0,0.0
nominal,9,0.06301544229475002,0.06301544229475002,0.0,0.0
nominal,10,0.056302026199613546,0.056302026199613546,0.0,0.0
nominal,11,0.05981972269620371,0.05981972269620371,0.0,0.0
nominal,12,0.05918359234049762,0.05918359234049762,0.0,0.0
nominal,13,0.0570669501902558,0.0570669501902558,0.0,0.0
nominal,14,0.06066017588126082,0.06066017588126082,0.0,0.0
nominal,15,0.053946634411554235,0.053946634411554235,0.0,0.0
nominal,16,0.05541814843642858,0.05541814843642858,0.0,0.0
nominal,17,0.06127704701465592,0.06127704701465592,0.0,0.0
nominal,18,0.06905826020608698,0.06905826020608698,0.0,0.0
nominal,19,0.06454512060818049,0.06454512060818049,0.0,0.0
pure_measurement_noise,0,0.09166924276740111,0.09166924276740111,0.0,0.0
pure_measurement_noise,1,0.06555397484801603,0.06584231860918954,0.4398570213965236,0.16393442622950818
pure_measurement_noise,2,0.06526153459806171,0.06526153459806171,0.0,0.0
pure_measurement_noise,3,0.06630269714388785,0.06630269714388785,0.0,0.0
pure_measurement_noise,4,0.0778207431875961,0.0778207431875961,0.0,0.0
pure_measurement_noise,5,0.060156623030054014,0.060156623030054014,0.0,0.0
pure_measurement_noise,6,0.07270360623063946,0.07591516997114964,4.4173376081539315,0.01639344262295082
pure_measurement_noise,7,0.07203818500528852,0.07203818500528852,0.0,0.0
pure_measurement_noise,8,0.062274513859110654,0.062274513859110654,0.0,0.0
pure_measurement_noise,9,0.05863912471857967,0.05863912471857967,0.0,0.0
pure_measurement_noise,10,0.0802418095363504,0.0802418095363504,0.0,0.0
pure_measurement_noise,11,0.0887553036553866,0.08876652471104254,0.012642687471964814,0.04918032786885246
pure_measurement_noise,12,0.06686306660217721,0.06686306660217721,0.0,0.0
pure_measurement_noise,13,0.08530562134752069,0.08530562134752069,0.0,0.0
pure_measurement_noise,14,0.06351321372506118,0.06356743443660015,0.08536918281869228,0.01639344262295082
pure_measurement_noise,15,0.08865895102584481,0.08865895102584481,0.0,0.0
pure_measurement_noise,16,0.06898371068054066,0.06898371068054066,0.0,0.0
pure_measurement_noise,17,0.07978922892872736,0.07978922892872736,0.0,0.0
pure_measurement_noise,18,0.11317276072914922,0.11317276072914922,0.0,0.0
pure_measurement_noise,19,0.07927046968936714,0.07927046968936714,0.0,0.0
