velocity_m_s,region,flow_coordinate_inlet_0_outlet_1,cross_stream_fraction,pixel_x,pixel_y,temperature_K,accepted_patch_pixel_count
4.0,inlet,0.1,0.35,572,233,327.02127659574467,45
4.0,inlet,0.1,0.65,954,233,327.27366104181954,45
4.0,inlet,0.25,0.35,572,195,329.32428466617756,45
4.0,inlet,0.25,0.65,954,195,329.32428466617756,45
4.0,middle,0.4,0.35,572,156,332.00586940572265,45
4.0,middle,0.4,0.65,954,156,331.8165810711665,45
4.0,middle,0.6,0.35,572,105,334.15113719735876,45
4.0,middle,0.6,0.65,954,105,334.15113719735876,54
4.0,outlet,0.75,0.35,572,66,335.5707997065297,63
4.0,outlet,0.75,0.65,954,66,335.5707997065297,63
4.0,outlet,0.9,0.35,572,28,337.9369038884813,81
4.0,outlet,0.9,0.65,954,28,337.9369038884813,81
5.0,inlet,0.1,0.35,573,670,324.62362435803374,36
5.0,inlet,0.1,0.65,954,670,324.62362435803374,45
5.0,inlet,0.25,0.35,573,632,326.3903154805576,49
5.0,inlet,0.25,0.65,954,632,326.67424798239176,45
5.0,middle,0.4,0.35,573,594,328.12545854732207,45
5.0,middle,0.4,0.65,954,594,328.28319882611885,45
5.0,middle,0.6,0.35,573,542,330.8070432868672,45
5.0,middle,0.6,0.65,954,542,330.74394717534847,45
5.0,outlet,0.75,0.35,573,504,333.04695524578136,45
5.0,outlet,0.75,0.65,954,504,332.7314746881878,45
5.0,outlet,0.9,0.35,573,466,333.80410858400586,45
5.0,outlet,0.9,0.65,954,466,333.6463683052091,49
6.0,inlet,0.1,0.35,573,1112,322.35216434336024,44
6.0,inlet,0.1,0.65,954,1112,321.84739545121056,45
6.0,inlet,0.25,0.35,573,1074,324.3396918561996,42
6.0,inlet,0.25,0.65,954,1074,324.3396918561996,45
6.0,middle,0.4,0.35,573,1035,326.3903154805576,45
6.0,middle,0.4,0.65,954,1035,326.516507703595,45
6.0,middle,0.6,0.35,573,984,328.0939104915627,45
6.0,middle,0.6,0.65,954,984,328.4093910491563,45
6.0,outlet,0.75,0.35,573,945,329.32428466617756,45
6.0,outlet,0.75,0.65,954,945,329.6082171680117,45
6.0,outlet,0.9,0.35,573,907,331.65884079236974,45
6.0,outlet,0.9,0.65,954,907,331.09097578870137,45
8.0,inlet,0.1,0.35,2150,236,317.4468864468864,45
8.0,inlet,0.1,0.65,2531,236,317.3296703296703,45
8.0,inlet,0.25,0.35,2150,198,318.94139194139194,45
8.0,inlet,0.25,0.65,2531,198,318.91208791208794,45
8.0,middle,0.4,0.35,2150,160,320.2893772893773,53
8.0,middle,0.4,0.65,2531,160,320.2893772893773,45
8.0,middle,0.6,0.35,2150,108,322.8095238095238,54
8.0,middle,0.6,0.65,2531,108,323.13186813186815,45
8.0,outlet,0.75,0.35,2150,70,324.12820512820514,45
8.0,outlet,0.75,0.65,2531,70,324.42124542124543,45
8.0,outlet,0.9,0.35,2150,32,325.15384615384613,45
8.0,outlet,0.9,0.65,2531,32,325.15384615384613,45
10.0,inlet,0.1,0.35,2150,677,314.28205128205127,45
10.0,inlet,0.1,0.65,2531,677,314.28205128205127,45
10.0,inlet,0.25,0.35,2150,639,317.007326007326,45
10.0,inlet,0.25,0.65,2531,639,316.86080586080584,45
10.0,middle,0.4,0.35,2150,601,318.5018315018315,45
10.0,middle,0.4,0.65,2531,601,318.5018315018315,45
10.0,middle,0.6,0.35,2150,549,320.64102564102564,54
10.0,middle,0.6,0.65,2531,549,320.0842490842491,45
10.0,outlet,0.75,0.35,2150,511,320.75824175824175,53
10.0,outlet,0.75,0.65,2531,511,320.75824175824175,45
10.0,outlet,0.9,0.35,2150,473,322.6336996336996,54
10.0,outlet,0.9,0.65,2531,473,322.98534798534797,45
12.0,inlet,0.1,0.35,2150,1119,312.43589743589746,49
12.0,inlet,0.1,0.65,2531,1119,312.43589743589746,45
12.0,inlet,0.25,0.35,2150,1081,315.6300366300366,50
12.0,inlet,0.25,0.65,2531,1081,314.45787545787545,45
12.0,middle,0.4,0.35,2150,1042,317.0659340659341,45
12.0,middle,0.4,0.65,2531,1042,316.97802197802196,45
12.0,middle,0.6,0.35,2150,991,318.6776556776557,45
12.0,middle,0.6,0.65,2531,991,318.6190476190476,45
12.0,outlet,0.75,0.35,2150,952,319.8791208791209,45
12.0,outlet,0.75,0.65,2531,952,319.6739926739927,45
12.0,outlet,0.9,0.35,2150,914,320.8168498168498,54
12.0,outlet,0.9,0.65,2531,914,320.5824175824176,45
