model,velocity_m_s,medium_fine_Tmax_relative_difference,medium_fine_max_region_difference_C,fine_energy_residual_relative,fine_mdot_identity_relative_error
M1,4.0,1.4259862842439705e-06,0.0040087284898433495,1.3935733681825572e-15,0.0
M1,5.0,1.2686814649313476e-06,0.0033721052765329773,2.816797233560488e-16,0.0
M1,6.0,1.1502813402416423e-06,0.0029212918393568543,2.0310590578830887e-15,0.0
M1,8.0,9.812433055368165e-07,0.002320317859101806,5.2333127549834325e-15,0.0
M1,10.0,8.643677349472047e-07,0.001934642237472417,2.420963096002251e-14,0.0
M1,12.0,7.775647845205638e-07,0.0016643824514019911,1.9806532126509537e-14,0.0
M2,4.0,1.2651719259240753e-06,0.003765215276708034,3.350506183077212e-15,0.0
M2,5.0,1.2344978584181853e-06,0.0033265524153307524,3.2912051886864647e-15,0.0
M2,6.0,1.2018711629008997e-06,0.002983089593229238,5.33708949516724e-15,0.0
M2,8.0,1.138051286786824e-06,0.002478486815356007,2.025128958444014e-14,0.0
M2,10.0,1.0798078602054791e-06,0.002124256097644661,6.152478168040013e-15,0.0
M2,12.0,1.0278010914411703e-06,0.001861030380688078,4.744079551259769e-16,0.0
