parameter,output,spearman_rank_correlation,absolute_correlation
h0_W_m2K_at_8m_s,4m_s_inlet,-0.686062932145787,0.686062932145787
h0_W_m2K_at_8m_s,4m_s_middle,-0.9565275987343256,0.9565275987343256
h0_W_m2K_at_8m_s,4m_s_outlet,-0.6647163951716863,0.6647163951716863
h0_W_m2K_at_8m_s,8m_s_inlet,-0.6586751435602952,0.6586751435602952
h0_W_m2K_at_8m_s,8m_s_middle,-0.9940437126450251,0.9940437126450251
h0_W_m2K_at_8m_s,8m_s_outlet,-0.6525020508613618,0.6525020508613618
velocity_exponent_m,4m_s_inlet,0.026388726122114143,0.026388726122114143
velocity_exponent_m,4m_s_middle,0.21060588304230632,0.21060588304230632
velocity_exponent_m,4m_s_outlet,0.24158853861478963,0.24158853861478963
velocity_exponent_m,8m_s_inlet,-0.14130141802414156,0.14130141802414156
velocity_exponent_m,8m_s_middle,-0.04249970701980546,0.04249970701980546
velocity_exponent_m,8m_s_outlet,0.06234618539786711,0.06234618539786711
downstream_cooling_bias_beta,4m_s_inlet,-0.6959187858900738,0.6959187858900738
downstream_cooling_bias_beta,4m_s_middle,-0.07256826438532754,0.07256826438532754
downstream_cooling_bias_beta,4m_s_outlet,0.5739189030821518,0.5739189030821518
downstream_cooling_bias_beta,8m_s_inlet,-0.7422330950427751,0.7422330950427751
downstream_cooling_bias_beta,8m_s_middle,-0.028369272237196767,0.028369272237196767
downstream_cooling_bias_beta,8m_s_outlet,0.6352015703738426,0.6352015703738426
heat_source_skew_eta,4m_s_inlet,-0.17768369858197586,0.17768369858197586
heat_source_skew_eta,4m_s_middle,-0.007846009609750381,0.007846009609750381
heat_source_skew_eta,4m_s_outlet,0.2549601546935427,0.2549601546935427
heat_source_skew_eta,8m_s_inlet,-0.18107347943279037,0.18107347943279037
heat_source_skew_eta,8m_s_middle,-0.020827962029766788,0.020827962029766788
heat_source_skew_eta,8m_s_outlet,0.2160904722840736,0.2160904722840736
